,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
14169,3164320,Volkswagen,up!,8.88875674784872,8.8421921308388,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1311,3093157,Mini,Hatch,9.67721410821299,9.627558223422797,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12685,3161337,Hyundai,i20,9.67721410821299,9.739292446661317,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2854,3102431,Honda,HR-V,10.307284603543595,10.282496926929738,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15920,3167280,Suzuki,Vitara,10.06475570013225,10.226925947021364,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10722,3157325,Nissan,Qashqai,9.46877384406884,9.402744301272913,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4744,3133488,Opel,Corsa,9.543234787249512,9.652743767992634,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6819,3139697,Peugeot,3008,10.690807903113322,10.720995242305651,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10763,3157401,Toyota,Yaris,8.852950887099581,8.613265527695171,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8480,3152288,Honda,Fit,9.612466578818832,9.714486893239341,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
16349,3167966,Nissan,Qashqai,9.79784922051313,9.649782862327296,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12346,3160734,Volkswagen,Golf,9.67721410821299,9.490226896592961,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7139,3140676,Kia,Sportage,10.460242108190519,10.477106624395644,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
13792,3163573,Audi,A4,10.72535770879079,10.729012544264233,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14356,3164646,Renault,Kadjar,10.038455412946613,10.03553254646264,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11664,3166633,Audi,A1,10.308785980087194,10.298196536471947,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15612,3166809,Volkswagen,Touareg,10.401227936753463,10.547300115960551,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2163,3098727,Suzuki,Vitara,9.711115659888671,9.863408132621018,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2623,3101142,Audi,A4,8.698681067461614,8.682335312389052,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12438,3160900,Audi,A6,10.273325483001141,10.33164220527028,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17441,3169703,Dacia,Duster,9.898475010712584,9.99269892561177,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10932,3157757,Volkswagen,Tiguan,10.645424897265505,10.554815130938604,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
8467,3152243,Toyota,Vitz,9.041921720351219,8.874726852947283,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
