,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
13076,3162144,Mercedes-benz,C Class,8.740336742730447,8.58305451698648,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2009,3097856,Peugeot,308,10.544024782823776,10.498171496125474,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6981,3140198,Peugeot,3008,10.290449189079732,10.363364959567198,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11730,3159587,Renault,Kadjar,9.85214162518454,9.891569468701142,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7994,3151158,Nissan,Qashqai,9.952039593118293,9.811810964192786,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12955,3161951,Hyundai,ix35,9.29605924737872,9.251116271382037,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10378,3156607,Bmw,4 Series,9.952230096524119,10.063936679635113,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14637,3165115,Toyota,Yaris,9.543234787249512,9.760672995590653,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3237,3104336,Volkswagen,Polo,10.159098293987839,10.136051155159471,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12717,3161385,Fiat,500,9.185022563991893,9.224726039468786,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15743,3167017,Kia,Sportage,10.04107321548869,10.166916822167513,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14986,3165721,Toyota,Yaris,9.305559638557117,9.323369457923437,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4801,3133695,Audi,A4,10.517320926376348,10.447403482136618,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12419,3160869,Opel,Corsa,9.90098442231801,9.986277609186333,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5397,3135601,Volkswagen,Tiguan,10.667675506200325,10.534233974282307,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9411,3154499,Toyota,Prius,9.205327830152639,9.442503696179585,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4116,3109156,Bmw,5 Series,10.489884363149192,10.572710758086739,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15174,3166022,Renault,Captur,10.19988156558993,10.36827039396428,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7133,3140667,Volkswagen,Polo,9.494767151707292,9.312257118032612,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14992,3165727,Renault,Megane,8.691146498539675,8.942431730865511,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9412,3154501,Mercedes-benz,GLE Class,10.645305842559727,10.680750062751596,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6108,3137564,Honda,Jazz,9.209840246934501,9.404557565881442,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16200,3167738,Renault,Clio,9.158941808890182,9.193228992656726,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16403,3168037,Volkswagen,Golf,10.462817585361734,10.53140301417583,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16439,3168115,Bmw,4 Series,11.034809015613943,10.815018514765296,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8007,3151185,Audi,A4,10.1226230824528,10.032046081605246,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3282,3104503,Bmw,5 Series,11.080602902692181,11.076350239972887,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9786,3155351,Ford,Focus,8.003028666384733,8.2567490482211,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3974,3108400,Nissan,Juke,9.184919994629272,9.31809300313182,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11770,3159661,Peugeot,5008,10.645305842559727,10.408236701954173,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4882,3133881,Peugeot,3008,10.154246270883311,10.256963115470114,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
341,3086548,Skoda,Karoq,10.201738576337144,10.269807861010598,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
16957,3168892,Opel,Insignia,8.202482446576537,8.85848968909078,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15028,3165789,Hyundai,Tucson,10.63344870621879,10.40433287034142,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
364,3088329,Volkswagen,T-Roc,10.515966830028619,10.586767060308418,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5033,3134407,Suzuki,Swift,9.79784922051313,9.628361274689363,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13466,3162970,Bmw,5 Series,10.877103351029552,10.932476944711667,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5504,3135828,Renault,Clio,9.791997176502765,9.787108183605636,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3675,3106791,Audi,A4,10.545315122572783,10.4650108672777,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7389,3141422,Volkswagen,Passat,10.373491181781864,10.283884302761392,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
