,true,predict,make,model,score,alpha,epsilon,max_iter
5795,10.165659490817816,10.189908009514602,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
17345,9.392578591964389,9.306364056025984,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
13391,10.274878680310541,10.107168367900274,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
13611,9.67721410821299,9.613590659505908,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
11952,9.546741177474825,9.606121045630447,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
1276,9.612466578818832,9.467169125616007,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
12307,9.392245175273795,9.355528012257368,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
11716,9.099408811268901,9.188577439599735,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
12721,10.165659490817816,10.14977234339994,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
16910,10.2574839122691,10.232827820903736,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
7471,9.305195902988862,9.239706124244691,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
3137,9.648595302907339,9.614383143975136,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
13021,8.881836305004146,8.92089925068412,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
1442,10.179033782643387,9.821754073435864,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
14286,10.271596874100524,10.323074587261548,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
17304,9.795345393916424,9.890871892901801,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
7179,10.201738576337144,10.057353733876559,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
4200,10.064542911536916,10.10878303150378,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
11094,9.711055051991444,9.605560981277112,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
13224,10.14348822091676,10.121599056814013,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
833,9.769956159911606,9.858020866938434,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
6875,9.468464892185638,9.385229800456232,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
3578,8.698847859222488,8.737419202459005,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
10213,10.293839022834245,10.358894768817374,Nissan,Juke,-0.01134723665945117,0.1,1.35,500
