,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
372,3086690,Ford,Transit Connect,9.035986984831405,9.310890668176185,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5219,3135044,Ford,Mondeo,10.489884363149192,10.187144689645322,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1487,3094340,Hyundai,Tucson,10.163926888594034,10.221205393287615,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13432,3162907,Seat,Leon,10.432644132986843,10.494508761166736,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4015,3108725,Nissan,Qashqai,10.124629101179664,10.173139270485558,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4039,3108848,Volkswagen,Caddy,9.767094927630573,10.010120905887211,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
17243,3169405,Bmw,5 Series,10.518538047359652,10.525321853297216,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3646,3106570,Mercedes-benz,CLA Class,10.124629101179664,10.17476431911495,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16970,3168915,Volkswagen,T-Roc,10.34158118013602,10.589573254309679,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2745,3101855,Mercedes-benz,E Class,9.543163100092235,9.864859601148025,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6855,3139818,Bmw,3 Series,10.04107321548869,10.069510253582887,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4599,3133081,Nissan,Qashqai,10.491135318903403,10.387284476626474,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16324,3167928,Skoda,Fabia,9.453286550586572,9.520272646776187,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16772,3168600,Ford,Transit,10.036706396322352,9.718233243939371,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12194,3160475,Bmw,7 Series,11.250911139267025,11.240241707254485,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12396,3160810,Opel,Corsa,9.099408811268901,9.340381262308693,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3271,3104489,Bmw,3 Series,10.949050620114422,10.91511745991633,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15809,3167120,Audi,A4,9.903437551286085,9.885761371413455,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9232,3154099,Ford,Focus,7.989560449333865,8.355015851519372,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6125,3137610,Peugeot,208,9.388486557359657,9.742358306042059,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
